##name Bulgarian
##ownname Български
##isocode bg_BG.UTF-8
##plural 0

##id 0x0000
STR_0001_OFF_EDGE_OF_MAP                                        :{WHITE}Извън картата
STR_010C_RUBBER_PLANTATION                                      :{BLACK}{TINYFONT}Каучукова плантация
STR_010D_WATER_SUPPLY                                           :{BLACK}{TINYFONT}Извор
STR_010E_WATER_TOWER                                            :{BLACK}{TINYFONT}Водна кула
STR_010F_LUMBER_MILL                                            :{BLACK}{TINYFONT}Lumber Mill
STR_0110_COTTON_CANDY_FOREST                                    :{BLACK}{TINYFONT}Гора от захарен памук
STR_0111_CANDY_FACTORY                                          :{BLACK}{TINYFONT}Завод за сладки
STR_0112_BATTERY_FARM                                           :{BLACK}{TINYFONT}Ферма за батерии
STR_0113_COLA_WELLS                                             :{BLACK}{TINYFONT}Кола кладенци
STR_0114_TOY_SHOP                                               :{BLACK}{TINYFONT}Магазин за играчки
STR_0115_TOY_FACTORY                                            :{BLACK}{TINYFONT}Завод за играчки
STR_0116_PLASTIC_FOUNTAINS                                      :{BLACK}{TINYFONT}Пластмасов фонтан
STR_0117_FIZZY_DRINK_FACTORY                                    :{BLACK}{TINYFONT}Завод за газирани напитки
STR_0118_BUBBLE_GENERATOR                                       :{BLACK}{TINYFONT}Генератор на балони
STR_0119_TOFFEE_QUARRY                                          :{BLACK}{TINYFONT}Карамеломна
STR_011A_SUGAR_MINE                                             :{BLACK}{TINYFONT}Захарна мина
STR_011B_RAILROAD_STATION                                       :{BLACK}{TINYFONT}ЖП гара
STR_011C_TRUCK_LOADING_BAY                                      :{BLACK}{TINYFONT}Торавна гара
STR_011D_BUS_STATION                                            :{BLACK}{TINYFONT}Автогара
STR_011E_AIRPORT_HELIPORT                                       :{BLACK}{TINYFONT}Летище
STR_011F_DOCK                                                   :{BLACK}{TINYFONT}Док
STR_0120_ROUGH_LAND                                             :{BLACK}{TINYFONT}Неравна земя
STR_0121_GRASS_LAND                                             :{BLACK}{TINYFONT}Тревна земя
STR_0122_BARE_LAND                                              :{BLACK}{TINYFONT}Гола земя
STR_0123_FIELDS                                                 :{BLACK}{TINYFONT}Ниви
STR_0124_TREES                                                  :{BLACK}{TINYFONT}Дървета
STR_0125_ROCKS                                                  :{BLACK}{TINYFONT}Скали
STR_0126_WATER                                                  :{BLACK}{TINYFONT}Вода
STR_0127_NO_OWNER                                               :{BLACK}{TINYFONT}Няма собственик
STR_0128_TOWNS                                                  :{BLACK}{TINYFONT}Градове
STR_0129_INDUSTRIES                                             :{BLACK}{TINYFONT}Индустрии
STR_012A_DESERT                                                 :{BLACK}{TINYFONT}Пустиня
STR_012B_SNOW                                                   :{BLACK}{TINYFONT}Сняг
STR_012C_MESSAGE                                                :{WHITE}Съобщение
STR_012D                                                        :{WHITE}{STRING}
STR_012E_CANCEL                                                 :{BLACK}Отказ
STR_012F_OK                                                     :{BLACK}OK
STR_0130_RENAME                                                 :{BLACK}Преименуване
STR_0131_TOO_MANY_NAMES_DEFINED                                 :{WHITE}Прекалено много имена
STR_0132_CHOSEN_NAME_IN_USE_ALREADY                             :{WHITE}Избраното име се използва

STR_0133_WINDOWS                                                :Windows
STR_0134_UNIX                                                   :Unix
STR_0135_OSX                                                    :ОС Х

STR_013B_OWNED_BY                                               :{WHITE}...собственост на {STRING}
STR_013C_CARGO                                                  :{BLACK}Товар
STR_013D_INFORMATION                                            :{BLACK}Информация
STR_013E_CAPACITIES                                             :{BLACK}Капацитети
STR_013E_TOTAL_CARGO                                            :{BLACK}Общо товар
STR_013F_CAPACITY                                               :{BLACK}Капацитет: {LTBLUE}{STRING}
STR_013F_TOTAL_CAPACITY_TEXT                                    :{BLACK}Общ товарен капацитет на влака:
STR_013F_TOTAL_CAPACITY                                         :{LTBLUE}- {CARGO} ({SHORTCARGO})
STR_0140_NEW_GAME                                               :{BLACK}Нова игра
STR_0141_LOAD_GAME                                              :{BLACK}Зареждане на игра

STR_64                                                          :64
STR_128                                                         :128
STR_256                                                         :256
STR_512                                                         :512
STR_1024                                                        :1024
STR_2048                                                        :2048
STR_0148_GAME_OPTIONS                                           :{BLACK}Настройки

STR_0150_SOMEONE                                                :някой{SKIP}{SKIP}
STR_0151_MAP_OF_WORLD                                           :Карта на света
STR_0152_TOWN_DIRECTORY                                         :Спидък с градове
STR_0153_SUBSIDIES                                              :Субсидии

STR_UNITS_IMPERIAL                                              :Английска
STR_UNITS_METRIC                                                :Метрическа
STR_UNITS_SI                                                    :СИ

STR_UNITS_VELOCITY_IMPERIAL                                     :{COMMA} мили/ч
STR_UNITS_VELOCITY_METRIC                                       :{COMMA} км/ч

STR_UNITS_POWER_METRIC                                          :{COMMA}кс
STR_UNITS_POWER_SI                                              :{COMMA}кв

STR_UNITS_WEIGHT_SHORT_IMPERIAL                                 :{COMMA}т.
STR_UNITS_WEIGHT_SHORT_METRIC                                   :{COMMA}т.
STR_UNITS_WEIGHT_SHORT_SI                                       :{COMMA}кг.

STR_UNITS_WEIGHT_LONG_IMPERIAL                                  :{COMMA} тон{P "" ове}
STR_UNITS_WEIGHT_LONG_METRIC                                    :{COMMA} тон{P "" ове}
STR_UNITS_WEIGHT_LONG_SI                                        :{COMMA} кг

STR_UNITS_VOLUME_SHORT_IMPERIAL                                 :{COMMA}галон
STR_UNITS_VOLUME_SHORT_METRIC                                   :{COMMA}л.
STR_UNITS_VOLUME_SHORT_SI                                       :{COMMA}куб. м.

STR_UNITS_VOLUME_LONG_IMPERIAL                                  :{COMMA} галон{P "" а}
STR_UNITS_VOLUME_LONG_METRIC                                    :{COMMA} литър{P "" и}
STR_UNITS_VOLUME_LONG_SI                                        :{COMMA} куб. м.


############ range for menu	starts
STR_0154_OPERATING_PROFIT_GRAPH                                 :Графика на капитала
STR_0155_INCOME_GRAPH                                           :Графика на приходите
STR_0156_DELIVERED_CARGO_GRAPH                                  :Графика на доставките
STR_0157_PERFORMANCE_HISTORY_GRAPH                              :Графика на изпълнение
STR_0158_COMPANY_VALUE_GRAPH                                    :Стойност на компанията
STR_0159_CARGO_PAYMENT_RATES                                    :Тарифи за доставка на стоки
STR_015A_COMPANY_LEAGUE_TABLE                                   :Класация на компаниите
############ range for menu	ends

STR_015B_OPENTTD                                                :{WHITE}Относно OpenTTD
STR_015C_SAVE_GAME                                              :Запис
STR_015D_LOAD_GAME                                              :Зареждане
STR_015E_QUIT_GAME                                              :Прекъсване
STR_015F_QUIT                                                   :Изход
STR_0160_ARE_YOU_SURE_YOU_WANT_TO                               :{YELLOW}Желаете ли да прекъснете от играта?
STR_0161_QUIT_GAME                                              :{WHITE}Прекъсване


############ range for months starts
STR_0162_JAN                                                    :Ян
STR_0163_FEB                                                    :Фев
STR_0164_MAR                                                    :Март
STR_0165_APR                                                    :Апр
STR_0166_MAY                                                    :Май
STR_0167_JUN                                                    :Юни
STR_0168_JUL                                                    :Юли
STR_0169_AUG                                                    :Авг
STR_016A_SEP                                                    :Сеп
STR_016B_OCT                                                    :Окт
STR_016C_NOV                                                    :Ное
STR_016D_DEC                                                    :Дек
############ range for months ends

STR_016E                                                        :{TINYFONT}{STRING}{} {STRING}
STR_016F                                                        :{TINYFONT}{STRING}{} {STRING}{}{NUM}
STR_0170                                                        :{TINYFONT}{STRING}-
STR_0171_PAUSE_GAME                                             :{BLACK}Пауза
STR_0172_SAVE_GAME_ABANDON_GAME                                 :{BLACK}Запис, прекъсване, изход
STR_0173_DISPLAY_LIST_OF_COMPANY                                :{BLACK}Списък със станциите
STR_0174_DISPLAY_MAP                                            :{BLACK}Показва карта
STR_0175_DISPLAY_MAP_TOWN_DIRECTORY                             :{BLACK}Показва карта, списък с градове
STR_0176_DISPLAY_TOWN_DIRECTORY                                 :{BLACK}Показва списък с градове
STR_0177_DISPLAY_COMPANY_FINANCES                               :{BLACK}Показва финансова информация
STR_0178_DISPLAY_COMPANY_GENERAL                                :{BLACK}Показва обща информация
STR_0179_DISPLAY_GRAPHS                                         :{BLACK}Показва графики
STR_017A_DISPLAY_COMPANY_LEAGUE                                 :{BLACK}Показва класация на компаниите
STR_017B_DISPLAY_LIST_OF_COMPANY                                :{BLACK}Показва списък с влакове
STR_017C_DISPLAY_LIST_OF_COMPANY                                :{BLACK}Показва списък с камиони/автобуси
STR_017D_DISPLAY_LIST_OF_COMPANY                                :{BLACK}Показва списък с кораби
STR_017E_DISPLAY_LIST_OF_COMPANY                                :{BLACK}Показва списък със самолети
STR_017F_ZOOM_THE_VIEW_IN                                       :{BLACK}Zoom the view in
STR_0180_ZOOM_THE_VIEW_OUT                                      :{BLACK}Намаляване на мащаба
STR_0181_BUILD_RAILROAD_TRACK                                   :{BLACK}Строене на ЖП линии
STR_0182_BUILD_ROADS                                            :{BLACK}Строене на пътища
STR_0183_BUILD_SHIP_DOCKS                                       :{BLACK}Строене на докове
STR_0184_BUILD_AIRPORTS                                         :{BLACK}Строене на летища
STR_0185_PLANT_TREES_PLACE_SIGNS                                :{BLACK}Садене на дървета, поставяне на знати и др.
STR_0186_LAND_BLOCK_INFORMATION                                 :{BLACK}Информация за земята
STR_0187_OPTIONS                                                :{BLACK}Настройки
STR_0188                                                        :{BLACK}{SMALLUPARROW}
STR_0189                                                        :{BLACK}{SMALLDOWNARROW}
STR_018A_CAN_T_CHANGE_SERVICING                                 :{WHITE}Интервала на техн. преглед не може да се промени...
STR_018B_CLOSE_WINDOW                                           :{BLACK}Затваряне на прозорец
STR_018C_WINDOW_TITLE_DRAG_THIS                                 :{BLACK}Заглавие на прозорец - преместване на прозореца с мишката
STR_018D_DEMOLISH_BUILDINGS_ETC                                 :{BLACK}Разрушаване на постройки и др.
STR_018E_LOWER_A_CORNER_OF_LAND                                 :{BLACK}Понижаване ъгъл от земята
STR_018F_RAISE_A_CORNER_OF_LAND                                 :{BLACK}Повишаване ъгъл от земята
STR_0190_SCROLL_BAR_SCROLLS_LIST                                :{BLACK}Лента за позициониране - превърта списъка нагоре/надолу
STR_0191_SHOW_LAND_CONTOURS_ON_MAP                              :{BLACK}Показване земните контури
STR_0192_SHOW_VEHICLES_ON_MAP                                   :{BLACK}Показване на превозните средства
STR_0193_SHOW_INDUSTRIES_ON_MAP                                 :{BLACK}Показване на индустриите
STR_0194_SHOW_TRANSPORT_ROUTES_ON                               :{BLACK}Показване транспортните маршрути
STR_0195_SHOW_VEGETATION_ON_MAP                                 :{BLACK}Показване растителността
STR_0196_SHOW_LAND_OWNERS_ON_MAP                                :{BLACK}Показване собствениците на земя
STR_0197_TOGGLE_TOWN_NAMES_ON_OFF                               :{BLACK}Показване имената на градовете
STR_0198_PROFIT_THIS_YEAR_LAST_YEAR                             :{TINYFONT}{BLACK}Печалба тази година: {CURRENCY} (минала година: {CURRENCY})

############ range for service numbers starts
############ range for service numbers ends

STR_019C_ROAD_VEHICLE                                           :Автобус/камион
STR_019D_AIRCRAFT                                               :Самолет
STR_019E_SHIP                                                   :Кораб
STR_019F_TRAIN                                                  :Влак
STR_01A0_IS_GETTING_OLD                                         :{WHITE}{STRING} {COMMA} е стар
STR_01A1_IS_GETTING_VERY_OLD                                    :{WHITE}{STRING} {COMMA} е много стар
STR_01A2_IS_GETTING_VERY_OLD_AND                                :{WHITE}{STRING} {COMMA} е много стар и спешно се нуждае от подмяна
STR_01A3_LAND_AREA_INFORMATION                                  :{WHITE}Информация за земята
STR_01A4_COST_TO_CLEAR_N_A                                      :{BLACK}Цена за изчистване: {LTBLUE}N/A
STR_01A5_COST_TO_CLEAR                                          :{BLACK}Цена за изчистване: {LTBLUE}{CURRENCY}
STR_01A6_N_A                                                    :N/A
STR_01A7_OWNER                                                  :{BLACK}Собственик: {LTBLUE}{STRING}
STR_01A8_LOCAL_AUTHORITY                                        :{BLACK}Община: {LTBLUE}{STRING}
STR_01A9_NONE                                                   :Нищо
STR_01AA_NAME                                                   :{BLACK}Име
STR_01AB                                                        :{BLACK}{TINYFONT}{STRING}

############ range for days	starts
STR_01AC_1ST                                                    :1-ви
STR_01AD_2ND                                                    :2-ри
STR_01AE_3RD                                                    :3-ти
STR_01AF_4TH                                                    :4-ти
STR_01B0_5TH                                                    :5-и
STR_01B1_6TH                                                    :6-и
STR_01B2_7TH                                                    :7-и
STR_01B3_8TH                                                    :8-и
STR_01B4_9TH                                                    :9-ти
STR_01B5_10TH                                                   :10-ти
STR_01B6_11TH                                                   :11-ти
STR_01B7_12TH                                                   :12-ти
STR_01B8_13TH                                                   :13-ти
STR_01B9_14TH                                                   :14-ти
STR_01BA_15TH                                                   :15-ти
STR_01BB_16TH                                                   :16-ти
STR_01BC_17TH                                                   :17-ти
STR_01BD_18TH                                                   :18-ти
STR_01BE_19TH                                                   :19-ти
STR_01BF_20TH                                                   :20-ти
STR_01C0_21ST                                                   :21-ви
STR_01C1_22ND                                                   :22-ри
STR_01C2_23RD                                                   :23-ти
STR_01C3_24TH                                                   :24-ти
STR_01C4_25TH                                                   :25-ти
STR_01C5_26TH                                                   :26-ти
STR_01C6_27TH                                                   :27-ми
STR_01C7_28TH                                                   :28-и
STR_01C8_29TH                                                   :29-и
STR_01C9_30TH                                                   :30-ти
STR_01CA_31ST                                                   :31-ви
############ range for days	ends

STR_01CB                                                        :{TINYFONT}{COMMA}

STR_01CE_CARGO_ACCEPTED                                         :{BLACK}Приет товар: {LTBLUE}

STR_01D1_8                                                      :({COMMA}/8 {STRING})
STR_01D2_JAZZ_JUKEBOX                                           :{WHITE}Джаз
STR_01D3_SOUND_MUSIC                                            :Звук/музика
STR_01D4_SHOW_SOUND_MUSIC_WINDOW                                :{BLACK}Показва прозореца за звук/музика
STR_01D5_ALL                                                    :{TINYFONT}Всички
STR_01D6_OLD_STYLE                                              :{TINYFONT}Стар стил
STR_01D7_NEW_STYLE                                              :{TINYFONT}Нов стил
STR_01D8_EZY_STREET                                             :{TINYFONT}Ezy Street
STR_01D9_CUSTOM_1                                               :{TINYFONT}Персонален 1
STR_01DA_CUSTOM_2                                               :{TINYFONT}Персонален 2
STR_01DB_MUSIC_VOLUME                                           :{BLACK}{TINYFONT}Сила на музиката
STR_01DC_EFFECTS_VOLUME                                         :{BLACK}{TINYFONT}Сила на ефектите
STR_01DD_MIN_MAX                                                :{BLACK}{TINYFONT}MIN  '  '  ' '  '  '  MAX
STR_01DE_SKIP_TO_PREVIOUS_TRACK                                 :{BLACK}Превъртане до предишната песен
STR_01DF_SKIP_TO_NEXT_TRACK_IN_SELECTION                        :{BLACK}Превъртане до следващата песен
STR_01E0_STOP_PLAYING_MUSIC                                     :{BLACK}Спиране на музиката
STR_01E1_START_PLAYING_MUSIC                                    :{BLACK}Пускане на музиката
STR_01E2_DRAG_SLIDERS_TO_SET_MUSIC                              :{BLACK}Преместете плъзгачите за промяна силата на звука
STR_01E3                                                        :{DKGREEN}{TINYFONT}--
STR_01E4_0                                                      :{DKGREEN}{TINYFONT}0{COMMA}
STR_01E5                                                        :{DKGREEN}{TINYFONT}{COMMA}
STR_01E6                                                        :{DKGREEN}{TINYFONT}------
STR_01E7                                                        :{DKGREEN}{TINYFONT}"{STRING}"
STR_01E8_TRACK_XTITLE                                           :{BLACK}{TINYFONT}Песен{SETX 88}Заглавие
STR_01E9_SHUFFLE                                                :{TINYFONT}Разбъркано
STR_01EA_PROGRAM                                                :{TINYFONT}{BLACK}Програма
STR_01EB_MUSIC_PROGRAM_SELECTION                                :{WHITE}Избор на музикалната програма
STR_01EC_0                                                      :{TINYFONT}{LTBLUE}0{COMMA} "{STRING}"
STR_01ED                                                        :{TINYFONT}{LTBLUE}{COMMA} "{STRING}"
STR_01EE_TRACK_INDEX                                            :{TINYFONT}{BLACK}Номер на песен
STR_01EF_PROGRAM                                                :{TINYFONT}{BLACK}Програма - '{STRING}'
STR_01F0_CLEAR                                                  :{TINYFONT}{BLACK}Изчистване
STR_01F1_SAVE                                                   :{TINYFONT}{BLACK}Запис
STR_01F2_CURRENT_PROGRAM_OF_MUSIC                               :{BLACK}Текуща програма от музикални парчета
STR_01F3_SELECT_ALL_TRACKS_PROGRAM                              :{BLACK}Избор на програма 'всички парчета'
STR_01F4_SELECT_OLD_STYLE_MUSIC                                 :{BLACK}Избор на програма 'стар стил музика'
STR_01F5_SELECT_NEW_STYLE_MUSIC                                 :{BLACK}Избор на програма 'нов стил музика'
STR_01F6_SELECT_CUSTOM_1_USER_DEFINED                           :{BLACK}Избор на програма 'Custom 1' (user-defined)
STR_01F7_SELECT_CUSTOM_2_USER_DEFINED                           :{BLACK}Избор на програма 'Custom 2' (user-defined)
STR_01F8_CLEAR_CURRENT_PROGRAM_CUSTOM1                          :{BLACK}Изчистване на текущата програма (само Custom1 или Custom2)
STR_01F9_SAVE_MUSIC_SETTINGS                                    :{BLACK}Запис на музикалните настройки
STR_01FA_CLICK_ON_MUSIC_TRACK_TO                                :{BLACK}Натиснете върху музикално парче за да го добавите към текущата програма (само Custom1 или Custom2)
STR_01FB_TOGGLE_PROGRAM_SHUFFLE                                 :{BLACK}Разместване на парчетата
STR_01FC_SHOW_MUSIC_TRACK_SELECTION                             :{BLACK}Показване на прозореца за избора на музикални парчета
STR_01FE_DIFFICULTY                                             :{BLACK}Сложност ({STRING})
STR_01FF                                                        :{TINYFONT}{BLACK}{DATE_LONG}
STR_0200_LAST_MESSAGE_NEWS_REPORT                               :Последно съобщение/новини
STR_0201_MESSAGE_SETTINGS                                       :Настройки на съобщенията
STR_0203_SHOW_LAST_MESSAGE_NEWS                                 :{BLACK}Показване на последно съобщение/новини, настройки на съобщенията
STR_0204_MESSAGE_OPTIONS                                        :{WHITE}Настройки на съобщенията
STR_0205_MESSAGE_TYPES                                          :{BLACK}Типове съобщения:
STR_0206_ARRIVAL_OF_FIRST_VEHICLE                               :{YELLOW}Първо пристигане на превозно средство в станция
STR_0207_ARRIVAL_OF_FIRST_VEHICLE                               :{YELLOW}Първо пристигане на превозно средство в конкурентна станция
STR_0208_ACCIDENTS_DISASTERS                                    :{YELLOW}Инциденти / бедствия
STR_0209_COMPANY_INFORMATION                                    :{YELLOW}Информация за компанията
STR_020A_ECONOMY_CHANGES                                        :{YELLOW}Промени в икономиката
STR_020B_ADVICE_INFORMATION_ON_PLAYER                           :{YELLOW}Съвет / информация за превозните средства
STR_020C_NEW_VEHICLES                                           :{YELLOW}Нови превозни средства
STR_020D_CHANGES_OF_CARGO_ACCEPTANCE                            :{YELLOW}Промени в приемането на товари
STR_020E_SUBSIDIES                                              :{YELLOW}Субсидии
STR_020F_GENERAL_INFORMATION                                    :{YELLOW}Обща информация
STR_0210_TOO_FAR_FROM_PREVIOUS_DESTINATIO                       :{WHITE}...прекалено далече от предходната цел
STR_0211_TOP_COMPANIES_WHO_REACHED                              :{BIGFONT}{BLACK}Първите компании достигнали {NUM}{}({STRING} ниво)
STR_0212                                                        :{BIGFONT}{COMMA}.
